3 1000
-1000.000000 19.999998 7.999999
400.000000 49993.171875 2.828427
-500.000000 7.071067 49988.929688

-1999.359619 59.995857 24.002834
799.837036 49979.515625 8.486580
-999.912720 21.216450 49966.781250

-2997.438965 119.955772 48.012985
1199.348145 49959.035156 16.976368
-1499.650635 42.440933 49933.550781

-3993.600342 199.820343 80.036606
1598.370605 49931.738281 28.300314
-1999.126221 70.750847 49889.230469

-4987.208984 299.502808 120.081566
1996.742554 49897.640625 42.461540
-2498.251953 106.154068 49833.804688

-5977.634766 418.889404 168.157532
2394.302734 49856.761719 59.463768
-2996.939453 148.660049 49767.261719

-6964.254395 557.839722 224.276031
2790.891357 49809.125000 79.311310
-3495.100830 198.279816 49689.582031

-7946.451172 716.187439 288.450562
3186.349365 49754.757812 102.009048
-3992.647461 255.026016 49600.750000

-8923.617188 893.740784 360.696747
3580.520020 49693.691406 127.562424
-4489.490723 318.912903 49500.742188

-9895.155273 1090.283447 441.032410
3973.247803 49625.964844 155.977432
-4985.541016 389.956360 49389.535156

-10860.477539 1305.575317 529.477722
4364.379395 49551.621094 187.260590
-5480.708984 468.173950 49267.105469

-11819.009766 1539.353516 626.055542
4753.764160 49470.699219 221.418945
-5974.904297 553.584961 49133.421875

-12770.188477 1791.333496 730.791321
5141.252930 49383.253906 258.459991
-6468.036621 646.210388 48988.453125

-13713.464844 2061.209717 843.713562
5526.699707 49289.332031 298.391724
-6960.015137 746.073059 48832.164062

-14648.302734 2348.656982 964.853943
5909.960449 49188.992188 341.222565
-7450.748047 853.197571 48664.515625

-15574.182617 2653.331543 1094.247559
6290.894531 49082.292969 386.961365
-7940.143555 967.610352 48485.472656

-16490.597656 2974.872070 1231.932983
6669.363770 48969.292969 435.617340
-8428.108398 1089.339844 48294.988281

-17397.058594 3312.901123 1377.953003
7045.232910 48850.054688 487.200104
-8914.549805 1218.416382 48093.019531

-18293.089844 3667.026123 1532.354492
7418.369141 48724.648438 541.719543
-9399.375000 1354.872437 47879.519531

-19178.232422 4036.840088 1695.188965
7788.643066 48593.136719 599.185913
-9882.488281 1498.742554 47654.437500

-20052.041016 4421.923340 1866.512573
8155.928223 48455.589844 659.609680
-10363.795898 1650.063477 47417.714844

-20914.087891 4821.844238 2046.386841
8520.099609 48312.082031 723.001587
-10843.202148 1808.874268 47169.296875

-21763.957031 5236.159668 2234.878906
8881.037109 48162.683594 789.372559
-11320.611328 1975.216187 46909.125000

-22601.248047 5664.416992 2432.061523
9238.621094 48007.464844 858.733704
-11795.926758 2149.133301 46637.128906

-23425.574219 6106.154297 2638.014160
9592.736328 47846.500000 931.096252
-12269.052734 2330.672119 46353.246094

-24236.560547 6560.901367 2852.822998
9943.269531 47679.867188 1006.471497
-12739.891602 2519.881836 46057.402344

-25033.845703 7028.179688 3076.581055
10290.108398 47507.636719 1084.870850
-13208.346680 2716.814941 45749.523438

-25817.078125 7507.503906 3309.389648
10633.144531 47329.886719 1166.305786
-13674.320312 2921.526611 45429.531250

-26585.917969 7998.382324 3551.357666
10972.270508 47146.691406 1250.787720
-14137.715820 3134.075195 45097.343750

-27340.033203 8500.316406 3802.603271
11307.381836 46958.125000 1338.327881
-14598.435547 3354.523193 44752.871094

-28079.101562 9012.801758 4063.253418
11638.375000 46764.261719 1428.937500
-15056.383789 3582.936035 44396.023438

-28802.802734 9535.327148 4333.445312
11965.147461 46565.175781 1522.627686
-15511.464844 3819.383789 44026.703125

-29510.824219 10067.376953 4613.327148
12287.598633 46360.941406 1619.409302
-15963.583008 4063.940674 43644.808594

-30202.855469 10608.427734 4903.057617
12605.629883 46151.632812 1719.292847
-16412.644531 4316.685547 43250.234375

-30878.587891 11157.950195 5202.807617
12919.141602 45937.320312 1822.288696
-16858.558594 4577.702148 42842.871094

-31537.712891 11715.407227 5512.761230
13228.037109 45718.078125 1928.406738
-17301.234375 4847.080078 42422.597656

-32179.916016 12280.253906 5833.115723
13532.217773 45493.976562 2037.656372
-17740.583984 5124.915039 41989.296875

-32804.878906 12851.937500 6164.083496
13831.586914 45265.082031 2150.046631
-18176.525391 5411.309082 41542.835938

-33412.277344 13429.892578 6505.892090
14126.046875 45031.464844 2265.585693
-18608.978516 5706.372070 41083.082031

-34001.769531 14013.543945 6858.785645
14415.500977 44793.195312 2384.281494
-19037.867188 6010.221191 40609.894531

-34573.007812 14602.301758 7223.026367
14699.851562 44550.339844 2506.140869
-19463.125000 6322.983398 40123.125000

-35125.625000 15195.560547 7598.894531
14979.000000 44302.964844 2631.169922
-19884.687500 6644.795898 39622.617188

-35659.226562 15792.695312 7986.690918
15252.847656 44051.132812 2759.373535
-20302.503906 6975.806641 39108.210938

-36173.398438 16393.060547 8386.737305
15521.293945 43794.910156 2890.756104
